dataset,model,n_seeds,seeds,mae_mean,mae_std,mae_95ci_half_width,rmse_mean,mape_mean,effect_mae_pct_vs_dataset_best,ci_scope
METR-LA,D2STGNN,3,"43,44,45",2.877969,0.000851,0.0021141718152828384,5.921416,0.07797,0.0,across seeds
METR-LA,STAEformer,3,"43,44,45",2.942297,0.005744,0.014270038668607082,6.001636,0.081795,2.2351873838807754,across seeds
METR-LA,MegaCRN,3,"43,44,45",3.011328,0.035483,0.08815177264592358,6.147921,0.081114,4.633788619682823,across seeds
METR-LA,MTGNN,3,"43,44,45",3.021335,0.005644,0.014021604847774784,6.146856,0.081777,4.981499105793004,across seeds
METR-LA,STID,3,"43,44,45",3.119073,0.004128,0.010255348123957179,6.47654,0.090706,8.377574602089181,across seeds
METR-LA,STNorm,3,"43,44,45",3.131702,0.003096,0.007691511092967883,6.427959,0.086298,8.816391003516715,across seeds
METR-LA,STGCNChebGraphConv,3,"43,44,45",3.137189,0.0004,0.0009937352833291838,6.323753,0.084736,9.00704628854583,across seeds
PEMS-BAY,D2STGNN,3,"43,44,45",1.513263,0.000586,0.0014558221900772546,3.526433,0.034219,0.0,across seeds
PEMS-BAY,MegaCRN,3,"43,44,45",1.55146,0.003261,0.008101426897341172,3.623981,0.035177,2.5241481487355495,across seeds
PEMS-BAY,STID,3,"43,44,45",1.563265,0.00012,0.0002981205849987552,3.600271,0.035461,3.30425048388812,across seeds
PEMS-BAY,STAEformer,3,"43,44,45",1.57296,0.01254,0.031153601132369917,3.579183,0.035474,3.9449190259723452,across seeds
PEMS-BAY,MTGNN,3,"43,44,45",1.59148,0.004606,0.011442861787535553,3.674225,0.035607,5.168764451387497,across seeds
PEMS-BAY,STNorm,3,"43,44,45",1.603087,0.001278,0.003174984230236743,3.708522,0.035837,5.935782477996218,across seeds
PEMS-BAY,STGCNChebGraphConv,3,"43,44,45",1.70198,0.00901,0.02238388725698987,3.81251,0.03871,12.47086593672085,across seeds
PEMS04,STAEformer,3,"43,44,45",18.222093,0.094473,0.23470288355489496,30.655789,0.122032,0.0,across seeds
PEMS04,D2STGNN,3,"43,44,45",18.393026,0.042643,0.10593963421751597,29.855537,0.126613,0.9380536033923106,across seeds
PEMS04,STID,3,"43,44,45",18.419484,0.010382,0.02579239927880897,29.940883,0.12546,1.0832509745175796,across seeds
PEMS04,MegaCRN,3,"43,44,45",18.818741,0.020466,0.0508444657715377,30.489188,0.127617,3.2743110245348777,across seeds
PEMS04,STNorm,3,"43,44,45",19.041688,0.073822,0.18339881521481755,31.336789,0.127963,4.4978093350747335,across seeds
PEMS04,MTGNN,3,"43,44,45",19.0589,0.022272,0.055331180575768954,31.0018,0.13315,4.592266102472423,across seeds
PEMS04,STGCNChebGraphConv,3,"43,44,45",19.962503,0.085272,0.21184448770011544,31.639228,0.135167,9.551098219068471,across seeds
