model,dataset,n_samples,top3_sensors,fidelity_ratio_k10,fidelity_ratio_k20,delta_important_k20,delta_random_k20,jaccard_noise_0.1,jaccard_noise_0.2
D2STGNN,METR-LA,100,"174, 144, 165",0.8566618757073614,0.861596601062923,3.26442538395524,4.325608934871853,0.09188034188034189,0.07370991581517897
D2STGNN,PEMS-BAY,100,"41, 94, 247",1.0416660921019023,0.9712977748232225,2.190889331102371,2.6265597143769264,0.06368086614241614,0.05342404852491739
D2STGNN,PEMS04,100,"39, 203, 142",1.2621517621886165,1.2888199543229957,20.271994619369508,22.855669132471085,0.06902761245082031,0.06256438643085141
MTGNN,METR-LA,100,"174, 91, 16",2.265190559790281e-33,5.528343846918767e-33,5.528343846918767e-41,1.114788980308965e-40,0.022844950213371268,0.022844950213371268
MTGNN,PEMS-BAY,100,"268, 41, 9",0.9465147975028393,0.9686135383197743,0.2146487720310688,0.22165770664811135,0.1587820610581022,0.1355661866884777
MTGNN,PEMS04,100,"60, 274, 131",1.4375143510781938,1.3631057047937203,0.08070789460092782,0.061071394123136995,0.16520797028834852,0.15538999631778158
STID,METR-LA,100,"174, 66, 46",0.3792907275795162,0.5328443867127549,1.9579482191801072,3.6050412303209303,0.6209150326797386,
STID,PEMS-BAY,100,"82, 121, 26",0.9691904254658354,0.9888779021429935,5.797097115516663,5.861946382522583,0.08496145009302904,0.07075057464376348
STID,PEMS04,100,"31, 266, 128",0.7934785337297318,0.8512049385027016,7.868407719731331,8.700652668476105,0.10346664865058194,0.08597226280046087
